Path,Sourcename,Sinkname,PEAKTYPE,HEDGETYPE,Period,DA congestion,RT LMP,Seq6,Seq5,Seq4,Seq3,Seq2,Seq1,Monthly Auction,Monthly Auction PnL,Seq1 PnL,Seq2 PnL,Seq3 PnL,Seq4 PnL,Seq5 PnL,Seq6 PnL
DDPEC_ST1+HB_HOUSTON,DDPEC_ST1,HB_HOUSTON,24HR,Obligation,2024-05-01,0.0,0.0,-0.7950913978494623,-0.3806258064516129,-2.7408075268817207,-4.818021505376343,-4.08134623655914,-4.705891397849463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDPEC_ST1+HB_HOUSTON,DDPEC_ST1,HB_HOUSTON,24HR,Option,2024-05-01,0.0,0.0,0.3276268817204301,0.2040032258064516,0.9022817204301075,0.26099247311827956,0.16438494623655914,0.24451505376344088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUKE_GST1CCU+HB_SOUTH,DUKE_GST1CCU,HB_SOUTH,24HR,Obligation,2024-05-01,0.0,0.0,-4.083590322580646,1.8254021505376345,-6.120206451612904,-0.6238623655913978,3.485001075268817,1.0715387096774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUKE_GST1CCU+HB_SOUTH,DUKE_GST1CCU,HB_SOUTH,24HR,Option,2024-05-01,0.0,0.0,4.659725806451613,9.47715698924731,17.691455913978494,12.093518279569894,9.200250537634409,9.064067741935483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUKE_GT2_CCU+HB_SOUTH,DUKE_GT2_CCU,HB_SOUTH,24HR,Obligation,2024-05-01,0.0,0.0,-4.083590322580646,1.8254021505376345,-6.120206451612904,-0.6238623655913978,3.485001075268817,1.0715387096774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUKE_GT2_CCU+HB_SOUTH,DUKE_GT2_CCU,HB_SOUTH,24HR,Option,2024-05-01,0.0,0.0,4.7152924731182795,9.5176,17.691455913978494,12.093518279569894,9.200250537634409,9.064067741935483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FREC_1_CCU+HB_NORTH,FREC_1_CCU,HB_NORTH,24HR,Obligation,2024-05-01,0.0,0.0,-1.0011290322580646,-0.9864827956989248,-0.19680860215053764,-0.5781849462365591,-0.5125440860215055,-0.4498709677419356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FREC_1_CCU+HB_NORTH,FREC_1_CCU,HB_NORTH,24HR,Option,2024-05-01,0.0,0.0,0.28000430107526875,0.16201182795698924,0.68082688172043,0.42727526881720423,0.4191709677419355,0.3404838709677419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FREC_2_CCU+HB_NORTH,FREC_2_CCU,HB_NORTH,24HR,Obligation,2024-05-01,0.0,0.0,-0.5091462365591398,-0.49647311827956986,0.9848064516129033,-0.4627139784946237,-0.5235161290322581,-0.5909623655913978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FREC_2_CCU+HB_NORTH,FREC_2_CCU,HB_NORTH,24HR,Option,2024-05-01,0.0,0.0,0.4080182795698925,0.4051623655913979,1.7899978494623658,0.47002043010752687,0.3340172043010753,0.4445602150537634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
