Year,Month,Name,Limit,DeviceName,DeviceType,FlowDirection,Factor
2020,1,NELRIO,89999.1,80076 AJO7A 85000 N_SHARP 1,Line,From-To,1
2020,1,NELRIO,89999.1,8902 RIOHONDO 80512 MGVLYTP 1,Line,To-From,1
2020,1,NE_LOB,839.7,5709 FOWLERTO 80219 LOBO7A 1,Line,To-From,1
2020,1,NE_LOB,839.7,8383 NEDIN7A 8574 POMELO7A 1,Line,To-From,1
2020,1,NE_LOB,839.7,80219 LOBO7A 345 80221 LOBO4A 138 1,Transformer,From-To,1
2020,1,NE_LOB,839.7,80219 LOBO7A 345 80221 LOBO4A 138 2,Transformer,From-To,1
2020,1,N_TO_H,3676.5,40600 ROANS__ 45972 KUYDAL7 75,Line,From-To,1
2020,1,N_TO_H,3676.5,44645 SNGLTN_ 44900 ZENITH_ 98,Line,From-To,1
2020,1,N_TO_H,3676.5,44645 SNGLTN_ 44900 ZENITH_ 99,Line,From-To,1
2020,1,N_TO_H,3676.5,44645 SNGLTN_ 46500 TOMBAL_ 74,Line,From-To,1
2020,1,N_TO_H,3676.5,967 GIBN_CREK 44900 ZENITH_ 18,Line,From-To,1
2020,1,N_TO_H,3676.5,967 GIBN_CREK 44900 ZENITH_ 50,Line,From-To,1
2020,1,PNHNDL,2223.0,11305 DERMOTT 59904 COTTONW 1,Line,To-From,1
2020,1,PNHNDL,2223.0,11305 DERMOTT 59904 COTTONW 2,Line,To-From,1
2020,1,PNHNDL,2223.0,59904 COTTONW 60500 EDITHCL 1,Line,From-To,1
2020,1,PNHNDL,2223.0,59904 COTTONW 60500 EDITHCL 2,Line,From-To,1
2020,1,PNHNDL,2223.0,60500 EDITHCL 60501 TESLA7A 1,Line,To-From,1
2020,1,PNHNDL,2223.0,60500 EDITHCL 60501 TESLA7A 2,Line,To-From,1
2020,1,PNHNDL,2223.0,60501 TESLA7A 61001 JIMTREE 1,Line,From-To,1
2020,1,PNHNDL,2223.0,6101 RILEY7A 60501 TESLA7A 1,Line,To-From,1
2020,1,REDTAP,89999.1,8896 RACHAL4A 88380 RGTAP4A 1,Line,To-From,1
2020,1,RV_RH,89999.1,5745 ERAYMNDV 80309 LASPULG 1,Line,To-From,1
2020,1,RV_RH,89999.1,57900 RAYTPNR 80309 LASPULG 1,Line,To-From,1
2020,1,RV_RH,89999.1,8302 RAYMND24 80309 LASPULG 1,Line,To-From,1
2020,1,RV_RH,89999.1,8319 RIOHONDO 80309 LASPULG 1,Line,To-From,1
2020,1,TRDWEL,89999.1,6365 YELWJCKT 60423 TREADWE 1,Line,To-From,1
2020,1,TRDWEL,89999.1,6480 SAPOWER4 60423 TREADWE 1,Line,To-From,1
