Path,Sourcename,Sinkname,PEAKTYPE,HEDGETYPE,Period,DA congestion,RT LMP,Seq6,Seq5,Seq4,Seq3,Seq2,Seq1,Monthly Auction,Monthly Auction PnL,Seq1 PnL,Seq2 PnL,Seq3 PnL,Seq4 PnL,Seq5 PnL,Seq6 PnL,Plant,Size (MW),ShadowPricePerMWH,BidPricePerMWH
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2022-11-01,-1.4963,-1.1856,-0.1473,-0.1619,-0.0957,-0.0884,-0.6059,-1.6667,-0.7801,-0.7162,0.1704000000000001,-0.8904,-1.4079,-1.4006,-1.3344,-1.349,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2022-12-01,2.9286,0.2437,-0.2414,-0.1833,-0.087,-0.1285,-0.371,-1.4647,-0.8538,3.7824,4.3933,3.2996,3.0571,3.0156,3.1119,3.17,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2023-01-01,-0.4263,-0.0253,-0.0872,-0.1279,-0.0278,-0.2839,-0.478,-0.7716,-0.604,0.17769999999999994,0.34529999999999994,0.05169999999999997,-0.14240000000000005,-0.3985,-0.2984,-0.3391,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2023-02-01,-0.0501,-0.0194,-0.0848,-0.09,-0.0429,-0.235,-0.4579,-0.4015,-0.397,0.34690000000000004,0.35140000000000005,0.4078,0.1849,-0.007199999999999998,0.0399,0.0347,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2023-03-01,0.0064,0.0217,-0.0876,-0.0852,-0.0253,-0.2612,-0.9951,-0.9244,-0.8286,0.835,0.9308,1.0015,0.2676,0.0317,0.0916,0.094,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2023-04-01,-0.3352,-0.2066,-0.1332,-0.119,-0.0734,-0.3283,-1.2628,-0.8366,-1.0699,0.7347000000000001,0.5014000000000001,0.9276,-0.006900000000000017,-0.2618,-0.2162,-0.202,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2023-05-01,-0.3333,-0.1297,-0.1879,-0.1085,-0.0458,-0.4207,-0.8204,-1.0674,-1.1756,0.8423,0.7341,0.4871,0.08740000000000002,-0.2875,-0.2248,-0.14539999999999995,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,OFFPEAK,Obligation,2023-06-01,-0.0115,-0.0042,-0.1067,-0.1255,-0.0276,-0.2525,-0.6058,-1.6086,-0.6134,0.6019,1.5971,0.5943,0.24100000000000002,0.0161,0.114,0.0952,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2019-01-01,-0.0783,0.0107,,,-0.12,-0.24,-0.41,-0.44,-0.4481,0.3698,0.3617,0.3317,0.1617,0.0417,,,,,,
BTE_PUN1+HB_HOUSTON,BTE_PUN1,HB_HOUSTON,WEPEAK,Obligation,2019-02-01,-0.1448,0.0077,,,-0.18,-0.25,-0.4,-0.56,-0.2926,0.1478,0.4152,0.2552,0.1052,0.03519999999999998,,,,,,
