Operations_Name,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
G138_4B,Line,To - From,-341.1,341.1,Hard Constraint,SGRNCAD8,FEB_2019,Off-peak,3.7
G138_4B,Line,From - To,341.1,341.1,Hard Constraint,SGRNCAD8,FEB_2019,Off-peak,6.81
G138_4B,Line,From - To,341.1,341.1,Hard Constraint,STEJGR38,FEB_2019,Off-peak,165.18
G138_4B,Line,To - From,-341.1,341.1,Hard Constraint,SGRNCAD8,FEB_2019,PeakWD,5.93
G138_4B,Line,From - To,341.1,341.1,Hard Constraint,SGRNCAD8,FEB_2019,PeakWD,12.39
G138_4B,Line,From - To,341.1,341.1,Hard Constraint,STEJGR38,FEB_2019,PeakWD,1216.86
G138_4B,Line,To - From,-341.1,341.1,Hard Constraint,SGRNCAD8,FEB_2019,PeakWE,1.97
G138_4B,Line,From - To,341.1,341.1,Hard Constraint,SGRNCAD8,FEB_2019,PeakWE,5.83
G138_4B,Line,From - To,341.1,341.1,Hard Constraint,STEJGR38,FEB_2019,PeakWE,104.91
138_ALV_MNL,Line,To - From,-189.0,189.0,Hard Constraint,SMDOPHR5,FEB_2019,Off-peak,574.41
138_ALV_MNL,Line,To - From,-189.0,189.0,Hard Constraint,SMDOPHR5,FEB_2019,PeakWD,6193.55
138_ALV_MNL,Line,To - From,-189.0,189.0,Hard Constraint,SMDOPHR5,FEB_2019,PeakWE,1570.11
69_FMF_OLD,Line,From - To,128.7,128.7,Hard Constraint,XSCL289,FEB_2019,Off-peak,3.72
69_FMF_OLD,Line,From - To,128.7,128.7,Hard Constraint,XSCL289,FEB_2019,PeakWD,4.81
69_FMF_OLD,Line,From - To,128.7,128.7,Hard Constraint,XSCL289,FEB_2019,PeakWE,1.88
G69_W,Line,To - From,-128.7,128.7,Hard Constraint,XSCL289,FEB_2019,Off-peak,3.1
G69_W,Line,To - From,-128.7,128.7,Hard Constraint,XSCL289,FEB_2019,PeakWD,2.98
G69_V,Line,To - From,-128.7,128.7,Hard Constraint,SFM5SC28,FEB_2019,Off-peak,0.21
G69_V,Line,To - From,-128.7,128.7,Hard Constraint,SOLDFM59,FEB_2019,Off-peak,15.42
G69_V,Line,To - From,-128.7,128.7,Hard Constraint,XFM589,FEB_2019,PeakWD,63.91
G69_V,Line,To - From,-128.7,128.7,Hard Constraint,XFM589,FEB_2019,PeakWE,8.92
CBYCHB97,Line,To - From,-1075.5,1075.5,Hard Constraint,DNB_JOR5,FEB_2019,Off-peak,0.0
CBYCHB97,Line,To - From,-1075.5,1075.5,Hard Constraint,DNB_JOR5,FEB_2019,PeakWD,17.05
CBYCHB97,Line,From - To,1075.5,1075.5,Hard Constraint,SJORCBY5,FEB_2019,PeakWD,1.63
CBYCHB97,Line,To - From,-1075.5,1075.5,Hard Constraint,DNB_JOR5,FEB_2019,PeakWE,6.92
CBYRNG87,Line,From - To,430.2,430.2,Hard Constraint,SPHRCTR5,FEB_2019,PeakWD,39.05
CBYRNG87,Line,From - To,430.2,430.2,Hard Constraint,SPHRCTR5,FEB_2019,PeakWE,2.06
AZ_QNM85,Line,To - From,-343.8,343.8,Hard Constraint,DDOLAZ_8,FEB_2019,Off-peak,4.22
AZ_QNM85,Line,From - To,343.8,343.8,Hard Constraint,SSLDER8,FEB_2019,Off-peak,1.42
AZ_QNM85,Line,To - From,-343.8,343.8,Hard Constraint,DDER_SC8,FEB_2019,PeakWD,61.86
AZ_QNM85,Line,To - From,-343.8,343.8,Hard Constraint,DDER_SC8,FEB_2019,PeakWE,5.02
AZ_QNM85,Line,To - From,-343.8,343.8,Hard Constraint,DDOLAZ_8,FEB_2019,PeakWE,0.98
AZ_SL_85,Line,To - From,-397.8,397.8,Hard Constraint,SSLDER8,FEB_2019,PeakWD,13.72
AZ_SL_85,Line,From - To,342.9,342.9,Hard Constraint,,FEB_2019,PeakWD,6.15
BT_EXN66,Line,From - To,387.0,387.0,Hard Constraint,DCBYDKR8,FEB_2019,Off-peak,35.72
BT_EXN66,Line,To - From,-387.0,387.0,Hard Constraint,SLHEXN8,FEB_2019,Off-peak,4.7
BT_EXN66,Line,From - To,387.0,387.0,Hard Constraint,DCBYDKR8,FEB_2019,PeakWD,63.66
BT_EXN66,Line,From - To,387.0,387.0,Hard Constraint,DCBYDKR8,FEB_2019,PeakWE,14.0
BCVPSA03,Line,To - From,-396.0,396.0,Hard Constraint,SPLSC8,FEB_2019,Off-peak,17.71
BCVPSA03,Line,To - From,-396.0,396.0,Hard Constraint,SPLSC8,FEB_2019,PeakWD,4.54
BCVPSA03,Line,To - From,-396.0,396.0,Hard Constraint,SPLSC8,FEB_2019,PeakWE,28.53
CV_LH_03,Line,To - From,-343.8,343.8,Hard Constraint,DBT_SRB8,FEB_2019,PeakWD,49.79
CV_LH_03,Line,To - From,-343.8,343.8,Hard Constraint,DBT_SRB8,FEB_2019,PeakWE,15.08
CO_WAS84,Line,From - To,273.6,273.6,Hard Constraint,SPLSC8,FEB_2019,Off-peak,13.8
CO_WAS84,Line,From - To,273.6,273.6,Hard Constraint,SPLSC8,FEB_2019,PeakWD,8.63
CO_WAS84,Line,From - To,273.6,273.6,Hard Constraint,SPLSC8,FEB_2019,PeakWE,2.83
DIBMNT21,Line,From - To,396.0,396.0,Hard Constraint,DCBYRN28,FEB_2019,Off-peak,9.14
DIBMNT21,Line,From - To,396.0,396.0,Hard Constraint,SPHRCTR5,FEB_2019,PeakWD,18.2
DIBMNT21,Line,From - To,396.0,396.0,Hard Constraint,SPHRCTR5,FEB_2019,PeakWE,6.8
DIBSRB22,Line,To - From,-472.5,472.5,Hard Constraint,SPHRCTR5,FEB_2019,PeakWE,9.66
LN_92,Line,To - From,-156.1,156.1,Hard Constraint,DTGFLC_8,FEB_2019,Off-peak,28.47
LN_92,Line,To - From,-156.1,156.1,Hard Constraint,DSTPDOW5,FEB_2019,PeakWD,4.99
LN_92,Line,To - From,-156.1,156.1,Hard Constraint,,FEB_2019,PeakWE,6.77
LHMPSA08,Line,From - To,390.6,390.6,Hard Constraint,XGB2Y58,FEB_2019,Off-peak,1.04
LHMPSA08,Line,From - To,390.6,390.6,Hard Constraint,XGB2Y58,FEB_2019,PeakWD,11.8
LHMPSA08,Line,To - From,-390.6,390.6,Hard Constraint,XGBY58,FEB_2019,PeakWD,9.04
LHMPSA08,Line,From - To,390.6,390.6,Hard Constraint,XGB2Y58,FEB_2019,PeakWE,11.74
LHMPSA08,Line,To - From,-390.6,390.6,Hard Constraint,XGBY58,FEB_2019,PeakWE,0.94
MTSPSA94,Line,From - To,278.1,278.1,Hard Constraint,,FEB_2019,PeakWD,5.48
MTSPSA94,Line,From - To,278.1,278.1,Hard Constraint,,FEB_2019,PeakWE,3.07
